parent,key,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sanders,Amazing,3,8,3,3,4,6,3,12,21,12,4,9,5,12,9,14,28,215,47
Sanders,Appalling,1,0,2,2,3,2,2,3,2,3,4,3,6,3,8,7,10,26,14
Sanders,Atrocious,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,3,5,0
Sanders,Awesome,1,2,2,0,0,1,1,4,5,1,1,3,3,1,6,4,21,45,12
Sanders,Awful,4,4,3,2,7,5,2,7,11,10,7,7,6,5,10,11,29,98,32
Sanders,Disastrous,3,3,1,1,3,0,3,2,0,5,0,5,3,2,7,8,28,130,32
Sanders,Dreadful,1,0,3,2,2,1,2,1,0,1,4,3,1,3,3,4,8,14,10
Sanders,Excellent,1,6,7,8,4,7,5,10,27,11,7,19,12,16,13,18,44,81,40
Sanders,fantastic,1,2,5,6,7,9,6,9,14,12,6,10,5,9,9,15,18,86,31
Sanders,Horrendous,0,0,1,0,1,1,1,1,2,2,3,1,1,0,0,2,5,19,2
Sanders,Horrible,3,3,7,0,1,4,2,3,6,3,4,5,5,3,5,9,33,127,25
Sanders,Horrific,1,1,0,2,0,1,4,1,2,1,2,4,1,3,3,5,18,52,19
Sanders,Horrifying,0,0,0,1,0,1,2,0,2,0,0,1,0,2,1,1,6,21,4
Sanders,Incredible,2,0,2,1,3,3,1,8,5,8,9,5,16,6,9,11,29,181,46
Sanders,Phenomenal,0,0,1,0,2,1,0,2,1,0,1,3,3,2,4,3,6,27,2
Sanders,Superb,1,0,1,3,5,3,4,7,12,9,3,2,1,6,12,6,6,10,16
Sanders,Terrible,7,4,4,7,5,7,5,7,10,9,11,8,9,11,16,19,70,230,52
Sanders,Terrific,0,1,4,1,3,4,3,3,4,5,3,1,2,4,6,2,11,49,16
Sanders,Tremendous,1,2,3,1,1,4,0,3,2,8,6,1,2,3,4,8,25,145,34
Sanders,Wonderful,6,5,7,7,4,5,4,13,10,9,6,7,6,13,12,15,37,124,42
